quota_definition__sid,quota__order_number,quota__geographical_areas,quota__headings,quota__commodities,quota__measurement_unit,quota__monetary_unit,quota_definition__description,quota_definition__validity_start_date,quota_definition__validity_end_date,quota_definition__suspension_periods,quota_definition__blocking_periods,quota_definition__status,quota_definition__last_allocation_date,quota_definition__initial_volume,quota_definition__balance,quota_definition__fill_rate
21754,50047,ERGA OMNES,"1605 – Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",1605211040|1605219040|1605290040,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Exhausted,#NA,0,0,0
20831,50053,ERGA OMNES,"1704 – Sugar confectionery (including white chocolate), not containing cocoa",1704000000,Kilogram (kg),#NA,#NA,01/01/2021,30/06/2021,#NA,#NA,Exhausted,28/01/2021,0,0,0
20830,50053,ERGA OMNES,"1704 – Sugar confectionery (including white chocolate), not containing cocoa",1704000000,Kilogram (kg),#NA,#NA,01/07/2021,30/06/2022,#NA,#NA,Open,#NA,44000,44000,0
21875,50053,ERGA OMNES,"1704 – Sugar confectionery (including white chocolate), not containing cocoa",1704000000,Kilogram (kg),#NA,#NA,01/07/2022,30/06/2023,#NA,#NA,Future,#NA,44000,#NA,0
20832,50055,ERGA OMNES,"0701 – Potatoes, fresh or chilled",701905000,Kilogram (kg),#NA,#NA,01/01/2021,15/05/2021,#NA,#NA,Closed,#NA,3000,3000,0
21755,50055,ERGA OMNES,"0701 – Potatoes, fresh or chilled",701905000,Kilogram (kg),#NA,#NA,01/01/2022,15/05/2022,#NA,#NA,Exhausted,#NA,0,0,0
20833,50056,ERGA OMNES,"0706 – Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh or chilled",706100000,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Exhausted,22/07/2021,52000,0,1
21756,50056,ERGA OMNES,"0706 – Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh or chilled",706100000,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Exhausted,#NA,0,0,0
20835,50058,ERGA OMNES,"0809 – Apricots, cherries, peaches (including nectarines), plums and sloes, fresh",809100000,Kilogram (kg),#NA,#NA,01/01/2021,31/05/2021,#NA,#NA,Closed,#NA,426000,426000,0
20834,50058,ERGA OMNES,"0809 – Apricots, cherries, peaches (including nectarines), plums and sloes, fresh",809100000,Kilogram (kg),#NA,#NA,01/08/2021,31/05/2022,#NA,#NA,Open,#NA,426000,426000,0
21876,50058,ERGA OMNES,"0809 – Apricots, cherries, peaches (including nectarines), plums and sloes, fresh",809100000,Kilogram (kg),#NA,#NA,01/08/2022,31/05/2023,#NA,#NA,Future,#NA,426000,#NA,0
20837,50059,ERGA OMNES,"0707 – Cucumbers and gherkins, fresh or chilled",707000500,Kilogram (kg),#NA,#NA,01/01/2021,15/05/2021,#NA,#NA,Closed,06/04/2021,634000,346672,0.453198738
20836,50059,ERGA OMNES,"0707 – Cucumbers and gherkins, fresh or chilled",707000500,Kilogram (kg),#NA,#NA,01/11/2021,15/05/2022,#NA,#NA,Exhausted,26/01/2022,487000,0,1
21877,50059,ERGA OMNES,"0707 – Cucumbers and gherkins, fresh or chilled",707000500,Kilogram (kg),#NA,#NA,01/11/2022,15/05/2023,#NA,#NA,Future,#NA,487000,#NA,0
20838,50060,ERGA OMNES,"0806 – Grapes, fresh or dried",806101090,Kilogram (kg),#NA,#NA,21/07/2021,31/10/2021,#NA,#NA,Closed,#NA,615000,615000,0
21878,50060,ERGA OMNES,"0806 – Grapes, fresh or dried",806101090,Kilogram (kg),#NA,#NA,21/07/2022,31/10/2022,#NA,#NA,Future,#NA,615000,#NA,0
20839,50061,ERGA OMNES,"0808 – Apples, pears and quinces, fresh",808108000,Kilogram (kg),#NA,#NA,01/04/2021,31/07/2021,#NA,#NA,Closed,#NA,30000,30000,0
21879,50061,ERGA OMNES,"0808 – Apples, pears and quinces, fresh",808108000,Kilogram (kg),#NA,#NA,01/04/2022,31/07/2022,#NA,#NA,Future,#NA,30000,#NA,0
20840,50062,ERGA OMNES,"0808 – Apples, pears and quinces, fresh",808309000,Kilogram (kg),#NA,#NA,01/08/2021,31/12/2021,#NA,#NA,Closed,08/11/2021,190000,543.5,0.997139474
21880,50062,ERGA OMNES,"0808 – Apples, pears and quinces, fresh",808309000,Kilogram (kg),#NA,#NA,01/08/2022,31/12/2022,#NA,#NA,Future,#NA,190000,#NA,0
20841,50063,ERGA OMNES,"0809 – Apricots, cherries, peaches (including nectarines), plums and sloes, fresh",809100000,Kilogram (kg),#NA,#NA,01/06/2021,31/07/2021,#NA,#NA,Closed,#NA,1113000,1113000,0
21881,50063,ERGA OMNES,"0809 – Apricots, cherries, peaches (including nectarines), plums and sloes, fresh",809100000,Kilogram (kg),#NA,#NA,01/06/2022,31/07/2022,#NA,#NA,Future,#NA,1113000,#NA,0
20843,50067,ERGA OMNES,"2009 – Fruit or nut juices (including grape must and coconut water) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter",2009619010|2009691111|2009691119|2009691910|2009695110|2009699020,Kilogram (kg),#NA,#NA,01/01/2021,31/08/2021,#NA,#NA,Closed,#NA,14029000,14029000,0
20842,50067,ERGA OMNES,"2009 – Fruit or nut juices (including grape must and coconut water) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter",2009619010|2009691111|2009691119|2009691910|2009695110|2009699020,Kilogram (kg),#NA,#NA,01/09/2021,31/08/2022,#NA,#NA,Open,30/06/2021,11504000,11504000,0
21882,50067,ERGA OMNES,"2009 – Fruit or nut juices (including grape must and coconut water) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter",2009619010|2009691111|2009691119|2009691910|2009695110|2009699020,Kilogram (kg),#NA,#NA,01/09/2022,31/08/2023,#NA,#NA,Future,#NA,11504000,#NA,0
20844,50070,ERGA OMNES,2309 – Preparations of a kind used in animal feeding,2309903100|2309904100|2309905100|2309909600,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Exhausted,15/01/2021,30000,0,1
21757,50070,ERGA OMNES,2309 – Preparations of a kind used in animal feeding,2309903100|2309904100|2309905100|2309909600,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Exhausted,#NA,0,0,0
20846,50071,ERGA OMNES,"1008 – Buckwheat, millet and canary seed; other cereals",1008210000|1008290000,Kilogram (kg),#NA,#NA,01/01/2021,30/06/2021,#NA,#NA,Exhausted,15/04/2021,348000,0,1
20845,50071,ERGA OMNES,"1008 – Buckwheat, millet and canary seed; other cereals",1008210000|1008290000,Kilogram (kg),#NA,#NA,01/07/2021,30/06/2022,#NA,#NA,Critical,18/03/2022,412000,193709.403,0.529831546
21883,50071,ERGA OMNES,"1008 – Buckwheat, millet and canary seed; other cereals",1008210000|1008290000,Kilogram (kg),#NA,#NA,01/07/2022,30/06/2023,#NA,#NA,Future,#NA,412000,#NA,0
20847,50072,ERGA OMNES,"2302 – Bran, sharps and other residues, whether or not in the form of pellets, derived from the sifting, milling or other working of cereals or of leguminous plants",2302301000|2302309000|2302401000|2302409000,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,#NA,16932000,16932000,0
21884,50072,ERGA OMNES,"2302 – Bran, sharps and other residues, whether or not in the form of pellets, derived from the sifting, milling or other working of cereals or of leguminous plants",2302301000|2302309000|2302401000|2302409000,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,#NA,16932000,16932000,0
20848,50073,ERGA OMNES,2309 – Preparations of a kind used in animal feeding,2309903100|2309904100|2309905100,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Exhausted,30/03/2021,54000,0,1
21758,50073,ERGA OMNES,2309 – Preparations of a kind used in animal feeding,2309903100|2309904100|2309905100,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Exhausted,#NA,0,0,0
20849,50076,ERGA OMNES,1003 – Barley,1003900020,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,#NA,30101000,30101000,0
21885,50076,ERGA OMNES,1003 – Barley,1003900020,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,#NA,30101000,30101000,0
20850,50083,ERGA OMNES,1006 – Rice,1006100000,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,15/10/2021,2000,1471,0.2645
21759,50083,ERGA OMNES,1006 – Rice,1006100000,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Exhausted,#NA,0,0,0
20851,50085,ERGA OMNES,1806 – Chocolate and other food preparations containing cocoa,1806000000,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,22/12/2021,26000,9346.03,0.640537308
21886,50085,ERGA OMNES,1806 – Chocolate and other food preparations containing cocoa,1806000000,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,12/01/2022,26000,24166.98,0.070500769
20852,50086,ERGA OMNES,"1902 – Pasta, whether or not cooked or stuffed (with meat or other substances) or otherwise prepared, such as spaghetti, macaroni, noodles, lasagne, gnocchi, ravioli, cannelloni; couscous, whether or not prepared",1902110000|1902190000|1902209100|1902209900|1902300000|1902400000,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Exhausted,06/04/2021,35000,0,1
21887,50086,ERGA OMNES,"1902 – Pasta, whether or not cooked or stuffed (with meat or other substances) or otherwise prepared, such as spaghetti, macaroni, noodles, lasagne, gnocchi, ravioli, cannelloni; couscous, whether or not prepared",1902110000|1902190000|1902209100|1902209900|1902300000|1902400000,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Exhausted,03/03/2022,35000,0,1
20853,50088,ERGA OMNES,2106 – Food preparations not elsewhere specified or included,2106909800,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,21/12/2021,219000,180692.8,0.174918721
21760,50088,ERGA OMNES,2106 – Food preparations not elsewhere specified or included,2106909800,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,04/03/2022,138000,137519.19,0.00348413
20854,50089,ERGA OMNES,2309 – Preparations of a kind used in animal feeding,2309101300|2309101500|2309101900|2309103300|2309103900|2309105100|2309105300|2309105900|2309107000,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,15/11/2021,665000,362892.404,0.454297137
21761,50089,ERGA OMNES,2309 – Preparations of a kind used in animal feeding,2309101300|2309101500|2309101900|2309103300|2309103900|2309105100|2309105300|2309105900|2309107000,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Critical,16/03/2022,326000,283924.03,0.129067393
20855,50092,ERGA OMNES,"2008 – Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included",2008201100|2008201900|2008203100|2008203900|2008207100|2008301100|2008301900|2008303100|2008303900|2008307900|2008401100|2008401900|2008402100|2008402900|2008403100|2008403900|2008501100|2008501900|2008503100|2008503900|2008505100|2008505900|2008507100|2008601100|2008601900|2008603100|2008603900|2008606000|2008701100|2008701900|2008703100|2008703900|2008705100|2008705900|2008801100|2008801900|2008803100|2008803900|2008807000,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Exhausted,20/05/2021,18000,0,1
21888,50092,ERGA OMNES,"2008 – Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included",2008201100|2008201900|2008203100|2008203900|2008207100|2008301100|2008301900|2008303100|2008303900|2008307900|2008401100|2008401900|2008402100|2008402900|2008403100|2008403900|2008501100|2008501900|2008503100|2008503900|2008505100|2008505900|2008507100|2008601100|2008601900|2008603100|2008603900|2008606000|2008701100|2008701900|2008703100|2008703900|2008705100|2008705900|2008801100|2008801900|2008803100|2008803900|2008807000,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,#NA,18000,18000,0
20856,50093,ERGA OMNES,"2009 – Fruit or nut juices (including grape must and coconut water) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter",2009111100|2009111900|2009191100|2009191900|2009291100|2009291900|2009391100|2009391900|2009491100|2009491900|2009791100|2009791900|2009811100|2009811900|2009891100|2009891900|2009893400|2009893500|2009893600|2009893800|2009901100|2009901900|2009902100|2009902900,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,10/08/2021,608000,607400,0.000986842
21889,50093,ERGA OMNES,"2009 – Fruit or nut juices (including grape must and coconut water) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter",2009111100|2009111900|2009191100|2009191900|2009291100|2009291900|2009391100|2009391900|2009491100|2009491900|2009791100|2009791900|2009811100|2009811900|2009891100|2009891900|2009893400|2009893500|2009893600|2009893800|2009901100|2009901900|2009902100|2009902900,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,13/01/2022,608000,607578.21,0.000693734
20857,50094,ERGA OMNES,"0702 – Tomatoes, fresh or chilled",702000000,Kilogram (kg),#NA,#NA,15/05/2021,31/10/2021,#NA,#NA,Closed,24/09/2021,8000,7079,0.115125
21762,50094,ERGA OMNES,"0702 – Tomatoes, fresh or chilled",702000000,Kilogram (kg),#NA,#NA,15/05/2022,31/10/2022,#NA,#NA,Future,#NA,0,#NA,0
20858,50095,ERGA OMNES,"2204 – Wine of fresh grapes, including fortified wines; grape must other than that of heading 2009",2204229310|2204229411|2204229461|2204229510|2204229611|2204229661|2204229710|2204229811|2204229861|2204299310|2204299411|2204299461|2204299510|2204299611|2204299661|2204299710|2204299811|2204299861,Hectolitre (hl),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Exhausted,16/12/2021,4353,0,1
21890,50095,ERGA OMNES,"2204 – Wine of fresh grapes, including fortified wines; grape must other than that of heading 2009",2204229310|2204229411|2204229461|2204229510|2204229611|2204229661|2204229710|2204229811|2204229861|2204299310|2204299411|2204299461|2204299510|2204299611|2204299661|2204299710|2204299811|2204299861,Hectolitre (hl),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Critical,03/02/2022,4353,1497.5,0.655984379
20860,50096,United States,2106 – Food preparations not elsewhere specified or included,2106909800,Kilogram (kg),#NA,#NA,01/01/2021,30/06/2021,#NA,#NA,Closed,29/06/2021,583326,231099.134,0.603825076
20859,50096,United States,2106 – Food preparations not elsewhere specified or included,2106909800,Kilogram (kg),#NA,#NA,01/07/2021,30/06/2022,#NA,#NA,Exhausted,12/01/2022,264000,0,1
21891,50096,United States,2106 – Food preparations not elsewhere specified or included,2106909800,Kilogram (kg),#NA,#NA,01/07/2022,30/06/2023,#NA,#NA,Future,#NA,264000,#NA,0
20861,50097,ERGA OMNES,"2204 – Wine of fresh grapes, including fortified wines; grape must other than that of heading 2009",2204219311|2204219312|2204219313|2204219319|2204219411|2204219412|2204219413|2204219419|2204219461|2204219511|2204219611|2204219661|2204219711|2204219811|2204219861,Hectolitre (hl),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,24/12/2021,35311,34645.257,0.0188537
21892,50097,ERGA OMNES,"2204 – Wine of fresh grapes, including fortified wines; grape must other than that of heading 2009",2204219311|2204219312|2204219313|2204219319|2204219411|2204219412|2204219413|2204219419|2204219461|2204219511|2204219611|2204219661|2204219711|2204219811|2204219861,Hectolitre (hl),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,16/03/2022,35311,34295.834,0.028749285
20862,50098,ERGA OMNES,2205 – Vermouth and other wine of fresh grapes flavoured with plants or aromatic substances,2205901000,Hectolitre (hl),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,#NA,2,2,0
21893,50098,ERGA OMNES,2205 – Vermouth and other wine of fresh grapes flavoured with plants or aromatic substances,2205901000,Hectolitre (hl),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,#NA,2,2,0
20864,50118,ERGA OMNES,"0203 – Meat of swine, fresh, chilled or frozen",0203195510|0203295591,Kilogram (kg),#NA,#NA,01/01/2021,30/06/2021,#NA,#NA,Closed,#NA,1220000,1220000,0
20863,50118,ERGA OMNES,"0203 – Meat of swine, fresh, chilled or frozen",0203195510|0203295591,Kilogram (kg),#NA,#NA,01/07/2021,30/06/2022,#NA,#NA,Open,#NA,1220000,1220000,0
21894,50118,ERGA OMNES,"0203 – Meat of swine, fresh, chilled or frozen",0203195510|0203295591,Kilogram (kg),#NA,#NA,01/07/2022,30/06/2023,#NA,#NA,Future,#NA,1220000,#NA,0
20866,50120,ERGA OMNES,"1601 – Sausages and similar products, of meat, meat offal, blood or insects; food preparations based on these products",1601009100|1601009900,Kilogram (kg),#NA,#NA,01/01/2021,30/06/2021,#NA,#NA,Closed,10/06/2021,2503389,2232730.45,0.108116857
20865,50120,ERGA OMNES,"1601 – Sausages and similar products, of meat, meat offal, blood or insects; food preparations based on these products",1601009100|1601009900,Kilogram (kg),#NA,#NA,01/07/2021,30/06/2022,#NA,#NA,Critical,18/03/2022,2838000,2452922.68,0.135686159
21895,50120,ERGA OMNES,"1601 – Sausages and similar products, of meat, meat offal, blood or insects; food preparations based on these products",1601009100|1601009900,Kilogram (kg),#NA,#NA,01/07/2022,30/06/2023,#NA,#NA,Future,#NA,2838000,#NA,0
20868,50123,ERGA OMNES,"0203 – Meat of swine, fresh, chilled or frozen",0203121100|0203121900|0203191100|0203191300|0203191500|0203195515|0203195525|0203195530|0203195590|0203195900|0203221100|0203221900|0203291100|0203291300|0203291500|0203295520|0203295530|0203295592|0203295599|0203295900,Kilogram (kg),#NA,#NA,01/01/2021,30/06/2021,#NA,#NA,Exhausted,12/03/2021,2000,0,1
20867,50123,ERGA OMNES,"0203 – Meat of swine, fresh, chilled or frozen",0203121100|0203121900|0203191100|0203191300|0203191500|0203195515|0203195525|0203195530|0203195590|0203195900|0203221100|0203221900|0203291100|0203291300|0203291500|0203295520|0203295530|0203295592|0203295599|0203295900,Kilogram (kg),#NA,#NA,01/07/2021,30/06/2022,#NA,#NA,Open,30/06/2021,1349000,1349000,0
21896,50123,ERGA OMNES,"0203 – Meat of swine, fresh, chilled or frozen",0203121100|0203121900|0203191100|0203191300|0203191500|0203195515|0203195525|0203195530|0203195590|0203195900|0203221100|0203221900|0203291100|0203291300|0203291500|0203295520|0203295530|0203295592|0203295599|0203295900,Kilogram (kg),#NA,#NA,01/07/2022,30/06/2023,#NA,#NA,Future,#NA,1349000,#NA,0
